feature,coefficient,absolute_coefficient
RIDAGEYR,1.893059597454486,1.893059597454486
LBXPG4,-0.7739123805472929,0.7739123805472929
RHD280_missing,-0.5955234562710895,0.5955234562710895
LBXAND,-0.5679697464924411,0.5679697464924411
LBXSAPSI,0.5076569075613453,0.5076569075613453
RHQ131_missing,0.5037504805950414,0.5037504805950414
RHQ078_missing,0.47170816541168664,0.47170816541168664
RHD280_2,0.462374967060081,0.462374967060081
RHQ305_1,0.45132914682431413,0.45132914682431413
RHQ078_2,-0.4494931149465263,0.4494931149465263
DMDMARTZ_missing,-0.44313612706620314,0.44313612706620314
RHQ305_missing,-0.43703421166024564,0.43703421166024564
DMDEDUC2_missing,-0.4364265911090034,0.4364265911090034
LBXESO,-0.3772565706180772,0.3772565706180772
LBXEST,-0.3375745052265968,0.3375745052265968
URXPREG_missing,0.3319044569294851,0.3319044569294851
URXPREG_2,-0.3257250836195015,0.3257250836195015
RIDRETH3_6,-0.3116400065634495,0.3116400065634495
RHQ131_1,-0.3112035117147839,0.3112035117147839
RIDEXPRG_missing,0.3021474208470344,0.3021474208470344
RHQ131_2,-0.298355638621513,0.298355638621513
RIDEXPRG_2,-0.2956921278058477,0.2956921278058477
BMXWAIST,0.29378597052323313,0.29378597052323313
BMXARMC,-0.28765481160361167,0.28765481160361167
LBXTC,-0.2846935727117913,0.2846935727117913
LBXSIR,0.28127548752004244,0.28127548752004244
LBXSAL,0.26830017065549666,0.26830017065549666
LBXAMH,-0.2634479128346749,0.2634479128346749
LBXSCA,0.24641089767344387,0.24641089767344387
RIDRETH3_1,-0.24133065685359634,0.24133065685359634
LBXGH,0.22975931430068694,0.22975931430068694
DMDMARTZ_2,0.22787699779909862,0.22787699779909862
LBXSBU,0.22542076004824899,0.22542076004824899
LBXIN,0.2208924728724576,0.2208924728724576
RIDRETH3_7,0.21540713393324032,0.21540713393324032
RHQ305_2,0.2133074047865387,0.2133074047865387
LBXSUA,0.1996227585548689,0.1996227585548689
BMXWT,-0.17942204947613574,0.17942204947613574
BMXBMI,-0.17393982118333287,0.17393982118333287
DMDEDUC2_4,0.17219002331099112,0.17219002331099112
RHD280_1,0.16680637088350028,0.16680637088350028
LBXSHBG,-0.16346174021075863,0.16346174021075863
LBDLDL,0.15806936750447909,0.15806936750447909
DMDEDUC2_2,0.1573771677280012,0.1573771677280012
DMDEDUC2_3,0.14178065413614668,0.14178065413614668
RHQ200_missing,0.13948003846480295,0.13948003846480295
LBXTLG,0.13862200139328734,0.13862200139328734
RIDRETH3_4,0.13461923878985782,0.13461923878985782
LBDHDD,0.12745577314012194,0.12745577314012194
DMDMARTZ_1,0.12548073017361847,0.12548073017361847
RHQ200_2,-0.12130753935151987,0.12130753935151987
LBXDHE,-0.11691634704900193,0.11691634704900193
LBXTST,0.11399754028959924,0.11399754028959924
LBXSCR,-0.09818419107576834,0.09818419107576834
RIDRETH3_3,0.09228913446386575,0.09228913446386575
RHQ200_1,-0.09141371366122197,0.09141371366122197
RHQ078_1,-0.07664191862519724,0.07664191862519724
LBXSTP,-0.07612844458939566,0.07612844458939566
INDFMPIR,0.0716468910376103,0.0716468910376103
LBXSASSI,0.07116299328524943,0.07116299328524943
LBXSTR,0.06976335027398434,0.06976335027398434
BMXARML,-0.06759692026059728,0.06759692026059728
RHD167,0.05536527413800563,0.05536527413800563
BMXHT,-0.05013764975875067,0.05013764975875067
LBXSTB,0.04890235832278608,0.04890235832278608
BMXHIP,0.04843459415790862,0.04843459415790862
RHQ010,0.045821390279567935,0.045821390279567935
LBXSGL,-0.04147691667295767,0.04147691667295767
DMDMARTZ_3,0.04070160753471393,0.04070160753471393
URXPREG_1,-0.040158819588962905,0.040158819588962905
RIDEXPRG_1,-0.040158819588962905,0.040158819588962905
DMDEDUC2_1,0.0315089562662616,0.0315089562662616
LBXGLU,-0.02890126804559286,0.02890126804559286
BMXLEG,-0.023170669512716003,0.023170669512716003
LBXSATSI,-0.019243075632998135,0.019243075632998135
DMDEDUC2_5,0.008895506607087274,0.008895506607087274
RIDRETH3_2,-0.006535870427031999,0.006535870427031999
LBXHSCRP,-3.843547714431762e-05,3.843547714431762e-05
RIDRETH3_missing,0.0,0.0
